,Brand,Name,Img_Url,Price
110,Original,RadoOriginal,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-diaster-r12304313.jpg,"57,700"
111,Vintage Rally,Frederique ConstantVintage Rally,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/f/r/frederique-constant-vintage-rally-fc-392hvg6b6_1.jpg,"2,09,500"
112,Classic,Frederique ConstantClassic,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/f/r/frederique-constant-worldtimer-fc-718wm4h6.jpg,"2,84,000"
113,Coupole,RadoCoupole,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-coupole-r22852713.jpg,"1,08,400"
114,Manufacture,Frederique ConstantManufacture,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/f/r/frederique-constant-slimline-moonphase-fc-705v4s4_1.jpg,"2,76,700"
115,Original,RadoOriginal,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-original-r12413363_2.jpg,"67,600"
116,Coupole,RadoCoupole,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-coupole-r22852703.jpg,"96,100"
117,Coupole,RadoCoupole,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-coupole-r22853924.jpg,"1,33,600"
118,Integral,RadoIntegral,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-integral-r20952713.jpg,"1,05,200"
119,Horological Smartwatch,Frederique ConstantHorological Smartwatch,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/f/r/fredrique-constant-horological-fc-285s5b6.jpg,"79,800"
120,Horological Smartwatch,Frederique ConstantHorological Smartwatch,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/f/r/fredrique-constant-horological-fc-285s5b6b.jpg,"88,200"
121,Horological Smartwatch,Frederique ConstantHorological Smartwatch,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/f/r/fredrique-constant-horological-fc-285b5b6b.jpg,"88,200"
122,Slimline,Frederique ConstantSlimline,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/f/r/frederique-constant-slim-line-fc-220s5s6b.jpg,"63,600"
123,Slimline,Frederique ConstantSlimline,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/f/r/frederique-constant-slim-line-fc-220v5s5.jpg,"65,900"
124,Original,RadoOriginal,https://cdn1.ethoswatches.com/pub/media/catalog/product/cache/55520dddd3cf2fe36aaa75a9ebd883d7/r/a/rado-diastar-r12305304.jpg,"56,800"
